RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        15910     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.470D-01  7.048D+00
    1    2     1     0  ---    0  3.1D-01  1.0D+00  2.424D-01  4.620D+00
    2    3     0     0  con    0  1.0D+00  1.9D+00  5.416D-02  3.401D+00
    3    4     0     0  con    0  1.0D+00  4.1D-01  1.733D-02  3.262D+00
    4    5     0     0  con    0  1.0D+00  1.4D-01  1.831D-02  3.250D+00
    5    6     0     0  con    0  1.0D+00  1.9D-01  2.444D-02  3.235D+00
    6    7     0     0  con    0  1.0D+00  2.1D+00  7.698D-02  3.141D+00
    7    9     0     0  con    1  5.0D+00  4.5D+00  1.249D-01  2.760D+00
    8   10     0     0  con    0  1.0D+00  9.5D+00  1.294D-01  2.488D+00
    9   11     0     0  con    0  1.0D+00  2.2D+00  3.510D-02  2.030D+00
   10   12     0     0  con    0  1.0D+00  5.9D-01  3.505D-02  1.935D+00
   11   13     0     0  con    0  1.0D+00  1.5D+00  3.362D-02  1.794D+00
   12   14     0     0  con    0  1.0D+00  2.8D+00  2.967D-02  1.580D+00
   13   15     0     0  con    0  1.0D+00  2.9D+00  3.961D-02  1.470D+00
   14   16     0     0  con    0  1.0D+00  1.2D+00  1.886D-02  1.382D+00
   15   17     0     0  con    0  1.0D+00  2.1D+00  2.870D-02  1.276D+00
   16   18     0     0  con    0  1.0D+00  2.0D+00  1.486D-02  1.192D+00
   17   19     0     0  con    0  1.0D+00  3.0D+00  4.063D-02  1.143D+00
   18   20     0     0  con    0  1.0D+00  7.4D-01  1.419D-02  1.073D+00
   19   21     0     0  con    0  1.0D+00  7.0D-01  1.394D-02  1.037D+00
   20   22     0     0  con    0  1.0D+00  1.3D+00  1.354D-02  9.890D-01
   21   23     0     0  con    0  1.0D+00  1.9D+00  2.169D-02  9.377D-01
   22   24     0     0  con    0  1.0D+00  3.0D+00  1.418D-02  8.887D-01
   23   25     0     0  con    0  1.0D+00  7.2D-01  7.557D-03  8.537D-01
   24   26     0     0  con    0  1.0D+00  6.2D-01  6.955D-03  8.337D-01
   25   27     0     0  con    0  1.0D+00  1.3D+00  7.449D-03  8.101D-01
   26   28     0     0  con    0  1.0D+00  1.8D+00  8.744D-03  7.814D-01
   27   29     0     0  con    0  1.0D+00  1.2D+00  3.933D-03  7.584D-01
   28   30     0     0  con    0  1.0D+00  1.4D+00  5.831D-03  7.383D-01
   29   31     0     0  con    0  1.0D+00  9.8D-01  1.062D-02  7.253D-01
   30   32     0     0  con    0  1.0D+00  5.8D-01  5.024D-03  7.114D-01
   31   33     0     0  con    0  1.0D+00  1.4D+00  4.479D-03  6.904D-01
   32   34     0     0  con    0  1.0D+00  1.2D+00  6.857D-03  6.789D-01
   33   35     0     0  con    0  1.0D+00  9.5D-01  5.052D-03  6.688D-01
   34   36     0     0  con    0  1.0D+00  5.0D-01  3.600D-03  6.600D-01
   35   37     0     0  con    0  1.0D+00  1.2D+00  3.455D-03  6.447D-01
   36   38     0     0  con    0  1.0D+00  1.3D+00  8.056D-03  6.365D-01
   37   39     0     0  con    0  1.0D+00  5.1D-01  3.313D-03  6.278D-01
   38   40     0     0  con    0  1.0D+00  4.2D-01  3.111D-03  6.217D-01
   39   41     0     0  con    0  1.0D+00  7.8D-01  3.982D-03  6.138D-01
   40   42     0     0  con    0  1.0D+00  1.3D+00  1.137D-02  6.053D-01
   41   43     0     0  con    0  1.0D+00  1.1D+00  3.048D-03  5.976D-01
   42   44     0     0  con    0  1.0D+00  1.8D-01  2.075D-03  5.933D-01
   43   45     0     0  con    0  1.0D+00  4.9D-01  2.467D-03  5.874D-01
   44   46     0     0  con    0  1.0D+00  9.2D-01  4.157D-03  5.817D-01
   45   47     0     0  con    0  1.0D+00  9.8D-01  5.213D-03  5.762D-01
   46   48     0     0  con    0  1.0D+00  4.5D-01  2.609D-03  5.722D-01
   47   49     0     0  con    0  1.0D+00  4.1D-01  2.956D-03  5.689D-01
   48   50     0     0  con    0  1.0D+00  6.1D-01  6.019D-03  5.647D-01
   49   51     0     0  con    0  1.0D+00  1.1D+00  4.232D-03  5.608D-01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 0.000E+00 seconds.

